"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
PVD28BYNFS,TA517444-AD1,,Reserved,"Not Available"
GRF400SVSS,TA024041,,Reserved,"Not Available"
GRF500PVSS,ZA059926,,Reserved,"Not Available"
GFD65ESSVWW,TA174816,,Reserved,"Not Available"
GFD65ESSVWW,TA174815,,Reserved,"Not Available"
GDT650SYVFS,MA781062,,Reserved,"Not Available"
GFD65ESSVWW,TA174814,,Reserved,"Not Available"
GDT550PGRBB,VA840550,,Reserved,"Not Available"
GNE27JYMFS,TA323979,,Reserved,"Not Available"
GDT630PGRBB,VA712516,,Reserved,"Not Available"
PGE29BYTFS,MA148994,,Reserved,"Not Available"
JGBS61RPSS,VA343115,,Reserved,"Not Available"
JVM6175SKSS,SA211363,,Reserved,"Not Available"
JAS640RMSS,VA915153,,Reserved,"Not Available"
GTW485ASWWB,VA146739,,Reserved,"Not Available"
GGF600AVSS,RA065002,,Reserved,"Not Available"
GTD48GASWWB,TA525203,,Reserved,"Not Available"
JGBS61DPWW,TA354970,,Reserved,"Not Available"
ZCWK22U2WSS,VA200783,,Reserved,"Not Available"
JVM3160RFSS,SA203701,,Reserved,"Not Available"
GTD58GBSVWS,SA825091,,Reserved,"Not Available"
GDT550PGRBB,ZA794393,,Reserved,"Not Available"
GTS22KYNRFS,VA784973,,Reserved,"Not Available"
JBS360DMWW,TA488660,,Reserved,"Not Available"
GFW550SPRRS,DA307220,,Reserved,"Not Available"
JGBS61DPWW,TA354984,,Reserved,"Not Available"
HA10TG21SB,TA553776,,Reserved,"Not Available"
GTD48EASWWB,VA509610,,Reserved,"Not Available"
GFE26JYMFS,RA354561,,Reserved,"Not Available"
JGBS66REKSS,VA404511,,Reserved,"Not Available"
PFW870SPVRS,RZ326429,,Reserved,"Not Available"
GDT650SYVFS,VA866808,,Reserved,"Not Available"
JVM3160RFSS,TZ234516,,Reserved,"Not Available"
AJCQ12DWJ,MA012491,,Reserved,"Not Available"
GTD48EASWWB,VA509614,,Reserved,"Not Available"
GTD48EASWWB,LA752381,,Reserved,"Not Available"
GFW350SSYWW,FA391301,,Reserved,"Not Available"
GFD55ESSNWW,LA180524,,Reserved,"Not Available"
CFE28TP4MW2,TA523917,,Reserved,"Not Available"
GFE28GYNFS,SA521096,,Reserved,"Not Available"
GTW220ACWWW,RA906980,,Reserved,"Not Available"
HTX26EASWWW,ZA561807,,Reserved,"Not Available"
JVM7195SKSS,AA205919,,Reserved,"Not Available"
PDT715SYVFS,ZA796462,,Reserved,"Not Available"
JVM3160RFSS,LA229033,,Reserved,"Not Available"
PDT715SYVFS,TA905203,,Reserved,"Not Available"
JGBS61DPWW,TA354993,,Reserved,"Not Available"
JGBS66REKSS,TA419958,,Reserved,"Not Available"
GFE26JMMES,ZA316748,,Reserved,"Not Available"
PHP9030DTBB,RA081191,,Reserved,"Not Available"
GTD48EASWWB,TA842088,,Reserved,"Not Available"
JVM7195EKES,MA200273,,Reserved,"Not Available"
GFW655SSVWW,TA326994,,Reserved,"Not Available"
QDT125SSLSS,ZZ712681,,Reserved,"Not Available"
GTD58EBPVDG,LA547056,,Reserved,"Not Available"
CSB913P2VS1,SA500135,,Reserved,"Not Available"
PFW870SSVWW,SA319277,,Reserved,"Not Available"
GFW655SSVWW,DA324570,,Reserved,"Not Available"
JVM3160RFSS,RA214411,,Reserved,"Not Available"
GNE27JYMFS,TA390423,,Reserved,"Not Available"
PDT715SYVFS,ZA796457,,Reserved,"Not Available"
UCG1520NSS,TA900396,,Reserved,"Not Available"
GTS18HYNRFS,TA874902,,Reserved,"Not Available"
JGBS61DPWW,MA424294,,Reserved,"Not Available"
JGBS86SPSS,VA379478,,Reserved,"Not Available"
HTX26EASWWW,VA750499,,Reserved,"Not Available"
GFD35ESPYDS,ZA191117,,Reserved,"Not Available"
PTD70EBSTWS,VA564930,,Reserved,"Not Available"
JB256DMWW,LA306872,,Reserved,"Not Available"
PTW800BPWRS,TA172862,,Reserved,"Not Available"
GTW485ASWWB,VA126941,,Reserved,"Not Available"
PTW605BSRWS,RA208798,,Reserved,"Not Available"
JGBS66REKSS,TA350490,,Reserved,"Not Available"
JVM3160RFSS,RA228322-AD1,,Reserved,"Not Available"
GNE27JYMFS,VA328022,,Reserved,"Not Available"
GTD48EASWWB,ZA507882,,Reserved,"Not Available"
JXTR32B,,1,Reserved,"Not Available"
GUD27ESSMWW,TA036254,,Reserved,"Not Available"
GME04GLKLB,SA085783,,Reserved,"Not Available"
PFD87ESSVWW,VA199085,,Reserved,"Not Available"
GFE28GYNFS,ZA507426,,Reserved,"Not Available"
GNE27JYMFS,TA348305,,Reserved,"Not Available"
PHS930YPFS,TA117696,,Reserved,"Not Available"
GFW655SSVWW,VA358259,,Reserved,"Not Available"
PP9830DRBB,LA008830,,Reserved,"Not Available"
GFW550SSNWW,VA348265,,Reserved,"Not Available"
JB256RTSS,VA442958,,Reserved,"Not Available"
HTX26EASWWW,VA522005,,Reserved,"Not Available"
PFD87ESPVRS,LA927407,,Reserved,"Not Available"
FUF14DLRWW,MA051041,,Reserved,"Not Available"
PDT715SYVFS,ZA796391,,Reserved,"Not Available"
JGP3036SLSS,GA112387,,Reserved,"Not Available"
GTD58GBPVDG,SA828089,,Reserved,"Not Available"
GSS23GYPFS,TA457745,,Reserved,"Not Available"
PVD28BYNFS,GA533454,,Reserved,"Not Available"
PHP9030DTBB,MA084968,,Reserved,"Not Available"
PVD28BYNFS,GA533451,,Reserved,"Not Available"
JNM3163RJSS,LA203832,,Reserved,"Not Available"
GTD58EBSVWS,MA714369,,Reserved,"Not Available"
GNE27JGMBB,VA325885,,Reserved,"Not Available"
PFD95GSPWGN,VA138112,,Reserved,"Not Available"
GTW485ASWWB,TA995917,,Reserved,"Not Available"
GRF600AVSS,TA152913,,Reserved,"Not Available"
GTW485ASWWB,TA995914,,Reserved,"Not Available"
PFW870SPVRS,FA302823,,Reserved,"Not Available"
PJE23BYWFS,RA159672,,Reserved,"Not Available"
JP3036SLSS,VA087023,,Reserved,"Not Available"
PVD28BYNFS,SA529637,,Reserved,"Not Available"
GCE06GSHSB,VA016870,,Reserved,"Not Available"
GNE27JYMFS,TA393126,,Reserved,"Not Available"
GRF500PVBB,ZA106030,,Reserved,"Not Available"
GYE22GYNFS,TA502256,,Reserved,"Not Available"
GUD24ESSMWW,VA065508,,Reserved,"Not Available"
JGP3036SLSS,GA112393,,Reserved,"Not Available"
JVM6175SKSS,SA208530,,Reserved,"Not Available"
GTS18HGNRBB,ZA773183,,Reserved,"Not Available"
GTS18HGNRBB,ZA773182,,Reserved,"Not Available"
PTD60EBSRWS,AD549363,,Reserved,"Not Available"
CVE28DP2NS1,SA524750,,Reserved,"Not Available"
GTS22KGNRWW,SA784042,,Reserved,"Not Available"
