"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
FCM16DLWW,RA900231,,Available,
GWE19JYLFS,VA318012,,Available,
GDT650SYVFS,SA862106,,Available,
PFW870SSVWW,RA325142,,Available,
GFW350SPYDS,TA303579,,Available,
FUF14DLRWW,SA045305,,Available,
GTE17DTNRBB,VA744601,,Available,
GTD45EASJWS,SA511471,,Available,
GTS22KYNRFS,RA736023,,Available,
FCM16DLWW,RA900223,,Available,
PDD415PYYFS,HA712356,,Available,
GDT650SYVFS,SA924908,,Available,
PVD28BYNFS,TA531264,,Available,
GTD48EASWWB,TA873175,,Available,
PDD415PYYFS,HA712595,,Available,
UVM9125STSS,RA200853,,Reserved,"Not Available"
GNE27JYMFS,VA390275,,Available,
GTS22KYNRFS,SA792067,,Available,
GFW550SSNWW,ZZ338393,,Available,
GUD27ESSMWW,TA038829,,Available,
GFD55ESPRRS,VA136487,,Available,
JVM3160RFSS,TA212589,,Available,
PFD87ESSVWW,VA139629,,Available,
GTW585BSVWS,VA940704,,Available,
JP3030SWSS,TA186149,,Available,
GTW585BPVDG,TA969689,,Available,
GTD48GASWWB,VA517906,,Available,
PFW955SPWDS,ZZ341841,,Available,
GFW655SSVWW,VA302929,,Available,
PHS930YPFS,GA209111,,Available,
PT7800SHSS,SA007017,,Available,
HTX26EASWWW,ZA753359,,Available,
PTD60EBPRDG,VA568268,,Available,
JGP3030DLBB,TA196112,,Available,
JVM3160RFSS,VA216223,,Available,
JVM3160RFSS,VA216222,,Available,
GTS17GSNRSS,ZA748101,,Available,
GFW350SSYWW,TA304142,,Available,
JVM7195RWSS,SA205189,,Available,
PDT755SBVTS,VA781749,,Available,
JVM6175SKSS,MA201680,,Available,
PVD28BYNFS,TA528918,,Available,
JVM7195SKSS,SA200851,,Available,
GDT650SYVFS,VA719786,,Available,
GRF600AVSS,RA074866,,Available,
GTD48EASWWB,VA513318,,Available,
GFD65ESSVWW,TA189112,,Available,
CWE23SP2MS1,SA504645,,Available,
GNE25JYKFS,LA321840,,Available,
PGB965YPFS,LA380664,,Reserved,"Not Available"
PDT755SYVFS,VA842673,,Available,
PTD60EBPRDG,VA568272,,Available,
GFW550SPRRS,AA353489,,Available,
GDT550PYRFS,TA893431,,Available,
PT7800SHSS,GA119594,,Available,
PT7800SHSS,GA119592,,Available,
GDE03GLKLB,MA085421-AD1,,Available,
GNE25JYKFS,LA340108,,Available,
GSS25IYNFS,TA425819,,Available,
PFD87ESPVRS,SA119157,,Available,
JVM7195SKSS,FA201360,,Available,
GIE19JSNRSS,VA802763,,Available,
C2S950P2MS1,ZZ376001,,Available,
GFW550SSNWW,TA309956,,Available,
JBS86SPSS,LA033033,,Available,
GFW350SPYDS,RA311878,,Available,
PFW870SPVRS,VZ372716,,Reserved,"Not Available"
GFD35ESSYWW,RA172975,,Available,
GTS22KYNRFS,TA834695,,Available,
CGE29DP4TW2,MA141900,,Available,
GTX33EASKWW,VA879334,,Available,
HTX26EASWWW,VA885300,,Available,
PVD28BYNFS,TA502537,,Available,
PHP9036DTBB,MA085001,,Available,
GGF600AVSS,TA056213,,Available,
GSS25GYPFS,VA459415,,Available,
GSS25GYPFS,VA459414,,Available,
PVD28BYNFS,ZA504597,,Available,
PFD87ESPVRS,VA219007,,Available,
PFW870SPVRS,AA313996,,Available,
PFW870SPVRS,TZ303151,,Available,
JX7230SLSS,,1,Available,
PHP9036DTBB,RA071680,,Available,
JVM3160RFSS,VA218047,,Available,
PT7800SHSS,VA068057,,Available,
